lat,long,z
70.17129682,-26.98996421,256
70.17129678,-26.98917177,251
70.17129673,-26.98837933,243
70.17129667,-26.98758689,236
70.17129662,-26.98679445,232
70.17129656,-26.98600201,236
70.17129649,-26.98520958,249
70.17129643,-26.98441714,261
70.17129636,-26.9836247,266
70.17129628,-26.98283226,272
70.17129621,-26.98203982,279
70.17129612,-26.98124738,293
70.17129604,-26.98045494,314
70.17129595,-26.9796625,327
70.17102799,-26.99392648,322
70.17102796,-26.99313406,304
70.17102793,-26.99234163,290
70.17102789,-26.9915492,274
70.17102786,-26.99075677,264
70.17102781,-26.98996434,260
70.17102777,-26.98917191,256
70.17102772,-26.98837948,249
70.17102766,-26.98758705,241
70.17102761,-26.98679463,235
70.17102755,-26.9860022,235
70.17102748,-26.98520977,243
70.17102742,-26.98441734,254
70.17102735,-26.98362491,264
70.17102727,-26.98283248,268
70.17102719,-26.98204005,277
70.17102711,-26.98124762,291
70.17102703,-26.9804552,307
70.17102694,-26.97966277,325
70.17102685,-26.97887034,341
70.17075898,-26.99392656,329
70.17075895,-26.99313415,312
70.17075892,-26.99234173,296
70.17075888,-26.99154931,281
70.17075884,-26.99075689,270
70.1707588,-26.98996447,264
70.17075876,-26.98917205,259
70.17075871,-26.98837963,252
70.17075865,-26.98758722,246
70.1707586,-26.9867948,238
70.17075854,-26.98600238,236
70.17075847,-26.98520996,239
70.17075841,-26.98441754,249
70.17075833,-26.98362512,261
70.17075826,-26.9828327,268
70.17075818,-26.98204029,278
70.1707581,-26.98124787,295
70.17075802,-26.98045545,309
70.17075793,-26.97966303,323
70.17075784,-26.97887061,340
70.17048997,-26.99392664,336
70.17048994,-26.99313423,323
70.17048991,-26.99234183,309
70.17048987,-26.99154942,293
70.17048983,-26.99075701,281
70.17048979,-26.9899646,272
70.17048974,-26.98917219,264
70.17048969,-26.98837979,258
70.17048964,-26.98758738,251
70.17048959,-26.98679497,241
70.17048953,-26.98600256,238
70.17048946,-26.98521015,239
70.17048939,-26.98441774,244
70.17048932,-26.98362534,257
70.17048925,-26.98283293,269
70.17048917,-26.98204052,282
70.17048909,-26.98124811,298
70.17048901,-26.9804557,308
70.17048892,-26.9796633,315
70.17048883,-26.97887089,324
70.17048873,-26.97807848,343
70.17022096,-26.99392672,343
70.17022093,-26.99313432,332
70.1702209,-26.99234193,322
70.17022086,-26.99154953,309
70.17022082,-26.99075713,292
70.17022078,-26.98996473,278
70.17022073,-26.98917233,266
70.17022068,-26.98837994,262
70.17022063,-26.98758754,259
70.17022057,-26.98679514,253
70.17022051,-26.98600274,247
70.17022045,-26.98521034,243
70.17022038,-26.98441795,243
70.17022031,-26.98362555,253
70.17022024,-26.98283315,269
70.17022016,-26.98204075,282
70.17022008,-26.98124836,295
70.17022,-26.98045596,304
70.17021991,-26.97966356,309
70.17021982,-26.97887116,315
70.17021972,-26.97807876,332
70.16995192,-26.99313441,340
70.16995189,-26.99234203,332
70.16995185,-26.99154964,318
70.16995181,-26.99075725,299
70.16995177,-26.98996486,283
70.16995172,-26.98917248,271
70.16995167,-26.98838009,267
70.16995162,-26.9875877,265
